"cow_id","breed","milk_yield","weight_kg","age_years","feed_kg_day","health_status"
1,"Friesian",17.2,528,3,13.9,"Healthy"
2,"Friesian",21.1,503,2,13.7,"Healthy"
3,"Friesian",20.9,572,7,17.4,"Healthy"
4,"Ayrshire",19,440,8,11.7,"Healthy"
5,"Ayrshire",15.8,497,4,12.9,"Healthy"
6,"Ayrshire",19.2,476,8,12.1,"Healthy"
7,"Friesian",23.8,538,6,15,"Healthy"
8,"Ayrshire",17.9,482,2,15.2,"Under Observation"
9,"Friesian",23,587,5,16.3,"Healthy"
10,"Ayrshire",15.8,461,7,12.8,"Treated"
11,"Friesian",21.3,517,7,14.2,"Healthy"
12,"Ayrshire",19.9,478,6,13,"Healthy"
13,"Friesian",18.6,503,4,14.6,"Healthy"
14,"Ayrshire",16.1,470,7,13.9,"Healthy"
15,"Jersey",16.7,418,7,12.9,"Under Observation"
16,"Guernsey",15.8,490,3,14.7,"Healthy"
17,"Friesian",23,515,3,17,"Healthy"
18,"Friesian",19.7,560,5,17,"Treated"
19,"Friesian",21.8,511,6,16.6,"Under Observation"
20,"Ayrshire",15.6,466,5,11.7,"Healthy"
21,"Ayrshire",19.9,486,6,16.6,"Under Observation"
22,"Ayrshire",19.2,470,3,12.5,"Under Observation"
23,"Friesian",21.2,549,2,18.8,"Under Observation"
24,"Ayrshire",16.2,454,6,15.6,"Healthy"
25,"Guernsey",18.1,489,6,16,"Healthy"
26,"Guernsey",18.7,440,6,14.8,"Healthy"
27,"Jersey",17.6,433,7,11.7,"Healthy"
28,"Ayrshire",17.2,471,2,12.9,"Healthy"
29,"Friesian",21.1,523,3,13.1,"Healthy"
30,"Friesian",18.6,591,8,16.7,"Healthy"
31,"Ayrshire",18.3,453,3,14.6,"Under Observation"
32,"Guernsey",15.2,458,5,12.3,"Healthy"
33,"Guernsey",15.8,455,8,14.7,"Healthy"
34,"Friesian",17.4,573,8,19.3,"Healthy"
35,"Jersey",15.7,390,3,10.8,"Healthy"
36,"Friesian",20.1,586,6,15.2,"Healthy"
37,"Friesian",23.8,593,8,16.2,"Healthy"
38,"Guernsey",15.1,454,2,12.1,"Healthy"
39,"Guernsey",15.3,477,5,13.3,"Healthy"
40,"Guernsey",14.8,448,2,13.8,"Healthy"
41,"Ayrshire",15.3,475,6,16.2,"Healthy"
42,"Friesian",23.7,508,3,13,"Healthy"
43,"Jersey",15,446,6,12.2,"Healthy"
44,"Friesian",19.9,558,6,15.7,"Healthy"
45,"Ayrshire",16.2,464,7,14.6,"Healthy"
46,"Friesian",17.1,562,6,19.6,"Healthy"
47,"Jersey",15.5,389,4,13.2,"Under Observation"
48,"Ayrshire",16.4,466,6,14.9,"Healthy"
49,"Friesian",21.7,555,7,14.4,"Under Observation"
50,"Ayrshire",15.6,446,6,11.8,"Healthy"
